Designator,Mid X,Mid Y,Rotation,Layer
D1,20.5751,11.0798,270.0,top
F1,2.5762,11.0762,270.0,top
F3,40.5762,13.0762,180.0,top
J1,44.5762,17.0762,180.0,top
J11,7.7662,7.0762,180.0,top
J12,45.7662,7.0762,180.0,top
J2,45.5762,1.4762,0.0,top
J3,35.5751,17.0798,180.0,top
J4,32.5762,4.8762,0.0,top
J5,20.5762,2.26995,0.0,top
J9,7.5762,1.4762,0.0,top
JP0,15.8701,8.6298,90.0,top
R16,23.5751,11.0798,90.0,top
R17,17.5751,11.0798,90.0,top
